sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,922,461,,0,0,161.4801
0.02,922,461,,0,0,0
0.04,921,462,,0,0,0.03999939
0.06,921,462,,0,0,0
0.08,921,462,,0,0,0
0.09999999,921,462,,0,0,0
0.12,921,462,,0,0,0
0.14,921,462,,0,0,0
0.16,921,462,,0,0,0
0.18,921,462,,0,0,0
0.2,921,462,,0,0,0
0.22,918,464,,0,0,0.7544098
0.24,917,465,,0,0,0.2527435
0.26,915,467,,0,0,0.5144013
0.28,914,468,,0,0,0.2548035
0.3,913,469,,0,0,0.2496643
0.32,912,470,,0,0,0.2448258
0.34,911,471,,0,0,0.2527435
0.36,910,472,,0,0,0.2527268
0.38,907,474,,0,0,0.5103577
0.4,906,475,,0,0,0.2540131
0.42,905,476,,0,0,0.2465851
0.44,904,477,,0,0,0.2609284
0.46,903,478,,0,0,0.2445526
0.48,901,480,,0,0,0.508168
0.5,900,481,,0,0,0.257457
0.52,899,482,,0,0,0.245311
0.54,898,483,,0,0,0.2553482
0.56,897,484,,0,0,0.2501328
0.58,895,485,,0,0,0.2539475
0.6,893,487,,0,0,0.5042831
0.62,892,488,,0,0,0.2527268
0.64,891,489,,0,0,0.2564438
0.66,890,489,,0,0,0.2490265
0.68,889,490,,0,0,0.2532608
0.7,887,492,,0,0,0.504953
0.72,886,493,,0,0,0.2527435
0.74,885,494,,0,0,0.2579529
0.76,884,495,,0,0,0.2475174
0.78,882,496,,0,0,0.2527435
0.8,880,498,,0,0,0.5054703
0.82,879,499,,0,0,0.2527435
0.84,878,500,,0,0,0.2527374
0.86,877,501,,0,0,0.2527374
0.88,876,502,,0,0,0.2527374
0.9,874,504,,0,0,0.5078629
0.92,873,505,,0,0,0.2503403
0.94,872,506,,0,0,0.2566727
0.96,871,507,,0,0,0.2607819
0.98,869,508,,0,0,0.241954
1,868,509,,0,0,0.2515396
1.02,866,511,,0,0,0.5135788
1.04,865,512,,0,0,0.2446289
1.06,864,513,,0,0,0.2534027
1.08,863,514,,0,0,0.2579209
1.1,862,514,,0,0,0.2468903
1.12,860,516,,0,0,0.5054764
1.14,859,517,,0,0,0.2558227
1.16,858,518,,0,0,0.2496597
1.18,856,519,,0,0,0.2527328
1.2,855,520,,0,0,0.2617569
1.22,853,522,,0,0,0.4964569
1.24,852,523,,0,0,0.2624542
1.26,851,524,,0,0,0.243016
1.28,850,525,,0,0,0.2528794
1.3,849,526,,0,0,0.2567536
1.32,848,527,,0,0,0.2497299
1.34,846,529,,0,0,0.5128662
1.36,845,530,,0,0,0.2441879
1.38,843,531,,0,0,0.2527374
1.4,842,532,,0,0,0.2527374
1.42,841,533,,0,0,0.2527374
1.44,839,535,,0,0,0.5054764
1.46,838,536,,0,0,0.2624268
1.48,837,537,,0,0,0.2430542
1.5,836,538,,0,0,0.2565201
1.52,835,539,,0,0,0.2489502
1.54,833,540,,0,0,0.5054749
1.56,832,541,,0,0,0.2628739
1.58,830,542,,0,0,0.2451035
1.6,829,543,,0,0,0.2502365
1.62,828,544,,0,0,0.2527435
1.64,827,545,,0,0,0.261969
1.66,825,547,,0,0,0.5087509
1.68,824,548,,0,0,0.2402268
1.7,823,549,,0,0,0.2529175
1.72,822,550,,0,0,0.2525528
1.74,821,551,,0,0,0.2527374
1.76,819,553,,0,0,0.5054764
1.78,817,554,,0,0,0.2566284
1.8,816,555,,0,0,0.2503342
1.82,815,556,,0,0,0.2512497
1.84,814,557,,0,0,0.2640671
1.86,812,559,,0,0,0.4941361
1.88,811,560,,0,0,0.2527603
1.9,810,561,,0,0,0.2527161
1.92,809,562,,0,0,0.2527328
1.94,808,563,,0,0,0.2527435
1.96,807,564,,0,0,0.2583618
1.98,804,566,,0,0,0.5019501
2,803,566,,0,0,0.2507218
2.02,802,567,,0,0,0.2526398
2.04,801,568,,0,0,0.2527374
2.06,800,569,,0,0,0.2549286
2.08,798,571,,0,0,0.5032852
2.1,797,572,,0,0,0.2527435
2.12,796,573,,0,0,0.2527268
2.14,795,574,,0,0,0.2527374
2.16,794,575,,0,0,0.2527374
2.18,791,577,,0,0,0.5054809
2.2,790,578,,0,0,0.2588898
2.22,789,579,,0,0,0.2465912
