sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1291,970,,0,0,161.4801
0.02,1291,970,,0,0,0
0.04,1290,970,,0,0,0.02000427
0.06,1290,970,,0,0,0
0.08,1290,970,,0,0,0
0.09999999,1290,970,,0,0,0
0.12,1290,970,,0,0,0
0.14,1290,970,,0,0,0
0.16,1290,970,,0,0,0
0.18,1290,970,,0,0,0
0.2,1290,970,,0,0,0
0.22,1290,970,,0,0,0
0.24,1290,970,,0,0,0
0.26,1290,970,,0,0,0
0.28,1290,970,,0,0,0
0.3,1287,974,,0,0,0.5324615
0.32,1286,976,,0,0,0.2582642
0.34,1283,980,,0,0,0.5055023
0.36,1281,982,,0,0,0.2527374
0.38,1280,984,,0,0,0.2527588
0.4,1278,986,,0,0,0.2527161
0.42,1277,988,,0,0,0.2527435
0.44,1273,992,,0,0,0.5096451
0.46,1272,994,,0,0,0.2485687
0.48,1270,996,,0,0,0.2527542
0.5,1269,998,,0,0,0.2565521
0.52,1267,1000,,0,0,0.2489121
0.54,1264,1004,,0,0,0.5054764
0.56,1263,1006,,0,0,0.2527328
0.58,1261,1008,,0,0,0.2575989
0.6,1260,1010,,0,0,0.2511627
0.62,1258,1012,,0,0,0.2540344
0.64,1257,1014,,0,0,0.2481552
0.66,1254,1018,,0,0,0.5054703
0.68,1252,1020,,0,0,0.2527603
0.7,1251,1023,,0,0,0.260672
0.72,1249,1025,,0,0,0.2447769
0.74,1248,1027,,0,0,0.2527435
0.76,1245,1031,,0,0,0.5054764
0.78,1243,1033,,0,0,0.2527374
0.8,1242,1035,,0,0,0.2583023
0.82,1240,1037,,0,0,0.2579529
0.84,1239,1039,,0,0,0.2419479
0.86,1236,1043,,0,0,0.5100479
0.88,1234,1045,,0,0,0.2505035
0.9,1233,1047,,0,0,0.2527817
0.92,1231,1049,,0,0,0.2503571
0.94,1229,1051,,0,0,0.2548691
0.96,1228,1053,,0,0,0.2551468
0.98,1225,1057,,0,0,0.5009308
1,1223,1059,,0,0,0.2527817
1.02,1222,1061,,0,0,0.2526993
1.04,1220,1063,,0,0,0.2527328
1.06,1219,1065,,0,0,0.2546448
1.08,1216,1069,,0,0,0.5062882
1.1,1214,1071,,0,0,0.2549393
1.12,1213,1073,,0,0,0.248378
1.14,1211,1075,,0,0,0.2521713
1.16,1210,1077,,0,0,0.2527328
1.18,1207,1081,,0,0,0.5057861
1.2,1205,1083,,0,0,0.2604218
1.22,1204,1085,,0,0,0.2504929
1.24,1202,1087,,0,0,0.246994
1.26,1201,1089,,0,0,0.2527374
1.28,1199,1091,,0,0,0.2544983
1.3,1196,1095,,0,0,0.5037155
